GATE_SU_DS: -411.435><-430.785><-596.486><-616.81><2><
GATE_SU_HI: 270.739><325.917><263.382><540.86><1><
GATE_LF_SU: -1901.44><94.2156><-1579.48><216.19><1><
SU_B13: 184.482><248.31><141.614><444.84><1><Outskirts
SU_A33: 187.483><109.81><141.614><313.84><1><Outskirts
SU_B04: 424.483><101.81><303.614><253.84><1><Outskirts
SU_A34: 189.483><108.81><141.614><188.84><1><Outskirts
SU_A37: 664.482><94.8102><577.614><250.84><1><Outskirts
SU_S04: 654.564><166.955><577.08><371.168><1><
SU_A63: 822.483><84.3102><752.614><259.84><1><Outskirts
SU_B12: 1064.48><76.8102><922.614><259.84><1><Outskirts
SU_A17: 1319.48><78.81><1191.62><239.84><1><Outskirts
SU_A40: 1459.48><29.31><1350.62><90.8402><0><Outskirts
SU_B07: 1222.48><-1.1898><1095.62><-24.1598><0><Outskirts
SU_A02: 986.481><8.8101><925.614><-24.1598><0><Outskirts
SU_A53: 823.482><19.3101><755.614><-28.1598><0><Outskirts
SU_A39: 664.482><24.81><586.614><69.8402><0><Outskirts
SU_A38: 659.484><15.8103><590.614><-74.1596><0><Outskirts
SU_A25: 749.484><-103.19><754.614><-184.16><0><
SU_A24: 748.482><-214.19><774.614><-331.16><0><
SU_A23: 576.483><-213.19><635.614><-331.16><0><
SU_A22: 473.481><-321.19><566.614><-488.16><0><
SU_C04: -57><-462><39.4724><-335.996><1><
SU_A41: 255.586><-220.805><374.472><-333.996><1><
SU_A42: 264.586><-118.805><385.472><-208.997><1><
SU_A43: 415.086><-213.805><511.472><-333.996><1><
SU_A44: 409.587><-220.805><318.472><-489.996><2><
SU_S01: 360.505><-327.547><446.662><-489.302><0><
SU_A06: 490.482><15.8103><419.614><-14.1598><0><Outskirts
SU_A36: 320.482><10.8102><261.614><10.8402><0><Outskirts
SU_B08: 77.4822><1.8102><-10.3859><6.8402><0><Outskirts
SU_B09: -167.517><62.31><-187.386><-1.1598><0><Outskirts
SU_A35: -119.518><48.81><-64.3858><138.84><1><Outskirts
SU_A20: 31.4823><109.81><-5.38576><283.84><1><Outskirts
SU_A31: -320.517><83.8101><-317.386><93.8402><1><Outskirts
SU_A32: -618.516><-13.1898><-549.386><107.84><1><Outskirts
SU_B05: -948.519><-1.6899><-805.386><106.84><1><Outskirts
SU_A07: -1122.52><63.8103><-977.386><174.84><1><Outskirts
SU_A45: -1751.84><66.3726><-1468.27><191.128><1><
SU_C02: -1448.52><67.8102><-1357.38><192.84><1><Outskirts
SU_B06: -820.518><245.31><-718.386><325.84><1><Outskirts
SU_B11: -629.517><433.809><-642.386><587.84><1><Outskirts
SU_A12: -550.518><317.811><-488.386><431.84><1><Outskirts
SU_A13: -384.519><433.809><-394.386><588.84><1><Outskirts
SU_B02: -302.019><250.311><-328.386><242.84><1><Outskirts
SU_A29: -126.517><92.8101><-170.386><292.84><1><Outskirts
SU_B10: -167.518><-171.69><-445.386><-181.16><2><Outskirts
SU_A10: -373.518><-247.19><-500.386><-379.16><2><Outskirts
SU_B01: -544.518><-281.69><-654.386><-462.16><2><Outskirts
SU_S03: -383.079><-326.423><-499.276><-505.254><2><
SU_A04: -731.517><-218.19><-827.386><-375.16><2><Outskirts
SU_C01: -910.518><-332.69><-961.386><-532.16><2><Outskirts
SU_B14: -660.708><-445.2><-826.754><-625.28><2><
SU_A30: -733.518><-330.19><-823.386><-498.16><2><Outskirts
